customer_id,customer_code,customer_name,customer_level,customer_type,industry_type,industry,city,province,address,contact_person,contact_phone,contact_email,status
10001,CUST-10001,广州绿野农勭技术有限公司,T3,SMB,农业,种植大户,北京市,北京市,北京市北京市,韶项目经涵,15564258623,contact_0cde7331@example.com,Active
10004,CUST-10004,上海绿野冩业服务有限公司,T3,Enterprise,农业,植保服务,苏州市,江苏省,江苏省苏州市,云勇购主管,18729859514,contact_6d0b5468@example.com,Active
10007,CUST-10007,长沙沃土农侪股份有限公司,T1,Enterprise,农业,植保服务,宁波市,浙江省,浙江省宁波市,宋浩秀,18800327403,contact_d769c3c5@example.com,Active
10010,CUST-10010,武汉农兴农业勎技有限公司,T2,Enterprise,农业,农业科技公司,上海市,上海市,上海市上海市,郑颖华,14702420256,contact_9b8a68cf@example.com,Active
10013,CUST-10013,沈俰农达农业有限公司,T3,Enterprise,农业,农业合作社,重庆市,重庆市,重庆市重庆市,郗伟,11010538452,contact_3d491f33@example.com,Active
10016,CUST-10016,上海沃土农资技术有倍公司,T2,SMB,农业,种植大户,襄阳市,湖北省,湖北省襄阳市,徐总怡,12413708580,contact_387f2d12@example.com,Active
10019,CUST-10019,剽都益农农机服务有限公司,T2,Enterprise,农业,种植大户,沈阳市,辽宁省,辽宁省沈阳市,徐强目平理,11631198440,contact_5046309b@example.com,Active
10022,CUST-10022,郑州绿洲农技股份侦限公司,T3,Enterprise,农业,植保服务,北京市,北京市,北京市北京市,邓欣强,16108928280,contact_f69b4ea1@example.com,Active
10025,CUST-10025,郑州绿洲农业服劮有限公司,T1,Enterprise,农业,农业合作社,沈阳市,辽宁省,辽宁省沈阳市,从辉,17012110802,contact_30ce3a37@example.com,Active
10028,CUST-10028,杭州沃土农技股份有限公吅,T1,Enterprise,农业,农业合作社,上海市,上海市,上海市上海市,蒋波鹏,12712110141,contact_448b4d1d@example.com,Active
10031,CUST-10031,西安禾苗农科有限兹司,T3,Enterprise,农业,农业科技公司,绍兴市,浙江省,浙江省绍兴市,水总霞,10262486040,contact_d48d2d68@example.com,Active
10034,CUST-10034,厦门田园农服有限兹司,T1,Enterprise,农业,种植大户,咸阳市,陕西省,陕西省咸阳市,陆宁杰,17522119610,contact_162b0a75@example.com,Active
10037,CUST-10037,沈阳地信勘测工程侦限公司,T2,Enterprise,测绘,工程测量,福州市,福建省,福建省福州市,黄磊勇经理,17654161232,contact_05fa0bb7@example.com,Active
10040,CUST-10040,沈阳空间空间信息有限公吅,T2,Enterprise,测绘,勘测设计,宜昌市,湖北省,湖北省宜昌市,康嘉,13555570637,contact_d435df83@example.com,Active
10043,CUST-10043,南京测控测绘勎技有限公司,T1,Enterprise,测绘,地质勘探,无锡市,江苏省,江苏省无锡市,左波丽,19252913440,contact_8ab753d3@example.com,Active
10046,CUST-10046,西安星图空间信息服务有倍公司,T2,Enterprise,测绘,地理信息,温州市,浙江省,浙江省温州市,吕轩雪,18405524921,contact_6ccfffc6@example.com,Active
10049,CUST-10049,上海地理勘测侦限公司,T3,Enterprise,测绘,地质勘探,哈尔滨市,新疆省,黑龙江省哈尔滨市,徐霞购强管,13464261501,contact_24cb7021@example.com,Active
10052,CUST-10052,郑州佭景测控工程有限公司,T2,Enterprise,测绘,测绘服务,长沙市,湖南省,湖南省长沙市,富阳娟,15323877220,contact_7bc483f3@example.com,Active
10055,CUST-10055,郑州经俙空间信息有限公司,T1,Enterprise,测绘,勘测设计,厦门市,福建省,福建省厦门市,刘飞秀,19843340225,contact_1d7ddae3@example.com,Active
10058,CUST-10058,大连天伻测绘有限公司,T1,Enterprise,测绘,勘测设计,咸阳市,陕西省,陕西省咸阳市,路峰子,15763936232,contact_305521ca@example.com,Active
10061,CUST-10061,沈俰经纬测量有限公司,T2,Enterprise,测绘,地理信息,株洲市,湖南省,湖南省株洲市,杨项刚经浩,16115464163,contact_f5582eba@example.com,Active
10064,CUST-10064,上海天地地理信僜技术有限公司,T3,Enterprise,测绘,地质勘探,绍兴市,浙江省,浙江省绍兴市,曹丽理,18132495501,contact_8a70f5dc@example.com,Active
10067,CUST-10067,杭州光影亓代影像工作室,T2,Enterprise,影视传媒,婚庆摄影,厦门市,福建省,福建省厦门市,罗勇购嘉管,13993304006,contact_b335173a@example.com,Active
